month,year,cal_month,gobierno,generalitat,player_action,gdp_growth,gdp_target,unemployment,public_debt_game,public_debt_real_pct,generalitat_surplus,cat_spa_relations,independence_movement,independence_trust,social_dissent,fla_leverage
37,2015,8,PP_abs,CDC_ERC_15,neutral,1.649,3.136,23.564,29.445,58.9,-2.49,25.12,61.31,31.1,98.56,True
38,2015,9,PP_abs,CDC_ERC_15,neutral,2.259,3.144,23.409,29.555,59.1,-2.64,24.67,62.18,31.2,97.9,True
39,2015,10,PP_abs,CDC_ERC_15,neutral,2.302,3.128,23.251,29.659,59.3,-2.515,24.04,62.27,31.29,97.66,True
40,2015,11,PP_abs,CDC_ERC_15,neutral,3.131,3.119,23.035,29.759,59.5,-2.39,22.5,62.32,31.03,98.92,True
41,2015,12,PP_abs,CDC_ERC_15,neutral,2.898,3.092,22.836,29.857,59.7,-2.356,22.73,62.99,30.5,98.98,True
42,2015,1,PSOE_min,CDC_ERC_16,neutral,3.265,4.681,22.645,29.956,59.9,-2.385,23.85,63.25,29.94,100.0,True
43,2015,2,PSOE_min,CDC_ERC_16,neutral,4.257,4.688,22.397,30.048,60.1,-2.206,22.66,62.7,30.64,99.66,True
44,2015,3,PSOE_min,CDC_ERC_16,neutral,4.501,4.685,22.134,30.134,60.3,-2.056,21.89,62.54,29.09,98.99,True
45,2015,4,PSOE_min,CDC_ERC_16,neutral,4.474,4.657,21.872,30.224,60.4,-2.149,22.92,61.14,28.94,99.47,True
46,2015,5,PSOE_min,CDC_ERC_16,neutral,4.938,4.687,21.584,30.318,60.6,-2.261,23.61,61.04,28.52,100.0,True
47,2015,6,PSOE_min,CDC_ERC_16,neutral,4.925,4.694,21.296,30.412,60.8,-2.274,23.54,60.58,28.65,100.0,True
48,2015,7,PSOE_min,CDC_ERC_16,neutral,5.306,4.7,20.986,30.511,61.0,-2.36,24.91,58.72,28.64,100.0,True
49,2016,8,PSOE_min,CDC_ERC_16,neutral,4.863,3.443,20.701,30.61,61.2,-2.376,24.72,58.16,28.42,100.0,True
50,2016,9,PSOE_min,CDC_ERC_16,neutral,4.566,3.444,20.435,30.71,61.4,-2.402,25.3,58.33,28.89,100.0,True
51,2016,10,PSOE_min,CDC_ERC_16,neutral,4.023,3.456,20.2,30.81,61.6,-2.415,25.77,58.77,28.95,100.0,True
52,2016,11,PSOE_min,CDC_ERC_16,neutral,4.223,3.459,19.953,30.912,61.8,-2.43,26.1,58.48,28.91,100.0,True
53,2016,12,PSOE_min,CDC_ERC_16,neutral,4.242,3.467,19.705,31.007,62.0,-2.277,26.97,58.38,29.33,99.92,True
54,2016,1,PSOE_min,CDC_ERC_16,neutral,4.121,3.486,19.464,31.1,62.2,-2.238,26.99,58.81,28.99,100.0,True
55,2016,2,PSOE_min,CDC_ERC_16,neutral,3.659,3.477,19.25,31.197,62.4,-2.332,27.75,59.41,29.37,100.0,True
56,2016,3,PSOE_min,CDC_ERC_16,neutral,3.607,3.486,19.039,31.297,62.6,-2.388,27.75,58.69,29.93,100.0,True
57,2016,4,PSOE_min,CDC_ERC_16,neutral,3.346,3.501,18.844,31.396,62.8,-2.377,27.99,58.08,29.59,100.0,True
58,2016,5,PSOE_min,CDC_ERC_16,neutral,3.46,3.508,18.642,31.495,63.0,-2.387,27.61,58.18,28.93,98.77,True
59,2016,6,PSOE_min,CDC_ERC_16,neutral,3.268,3.493,18.451,31.593,63.2,-2.363,27.78,59.39,29.43,98.79,True
60,2016,7,PSOE_min,CDC_ERC_16,neutral,3.324,3.487,18.256,31.695,63.4,-2.433,27.71,59.02,29.66,98.12,True
61,2017,8,PSOE_min,CDC_ERC_16,neutral,3.545,3.593,18.049,31.786,63.6,-2.198,27.59,59.27,30.08,97.87,True
62,2017,9,PSOE_min,CDC_ERC_16,neutral,3.621,3.593,17.838,31.876,63.8,-2.145,27.61,58.47,30.16,98.51,True
63,2017,10,PSOE_min,ART155,neutral,3.621,2.604,17.701,31.958,63.9,-1.978,27.11,57.67,30.66,98.83,True
64,2017,11,PSOE_min,ART155,neutral,3.831,2.613,17.556,32.042,64.1,-2.022,24.52,57.02,29.67,98.43,True
65,2017,12,PSOE_min,ART155,neutral,3.114,2.57,17.438,32.124,64.2,-1.955,22.76,58.6,30.22,97.98,True
66,2017,1,PSOE_min,ART155,neutral,2.629,2.531,17.339,32.201,64.4,-1.85,19.84,60.14,30.88,97.63,True
67,2017,2,PSOE_min,ART155,neutral,2.088,2.476,17.26,32.27,64.5,-1.645,17.76,61.14,30.15,97.14,True
68,2017,3,PSOE_min,ART155,neutral,2.224,2.425,17.176,32.336,64.7,-1.596,15.44,61.59,29.69,97.11,True
69,2017,4,PSOE_min,ART155,neutral,2.32,2.379,17.088,32.398,64.8,-1.491,13.94,60.47,28.99,98.49,True
70,2017,5,PSOE_min,JxCat,neutral,2.676,3.261,16.922,32.462,64.9,-1.534,14.91,60.46,29.65,98.65,True
71,2017,6,PSOE_min,JxCat,neutral,3.424,3.284,16.711,32.515,65.0,-1.273,14.61,61.23,30.04,100.0,True
72,2017,7,PSOE_min,JxCat,neutral,3.112,3.275,16.518,32.563,65.1,-1.142,15.23,59.53,29.52,98.04,True
73,2018,8,PSOE_min,JxCat,neutral,3.145,3.498,16.323,32.605,65.2,-1.007,16.54,59.49,30.4,96.72,True
74,2018,9,PSOE_min,JxCat,neutral,2.775,3.529,16.152,32.645,65.3,-0.967,17.06,59.35,29.44,96.69,True
75,2018,10,PSOE_min,JxCat,neutral,2.62,3.527,15.99,32.68,65.4,-0.841,17.56,58.4,29.25,95.68,True
76,2018,11,PSOE_min,JxCat,neutral,2.861,3.544,15.813,32.708,65.4,-0.679,17.12,58.74,29.06,94.93,True
77,2018,12,PSOE_min,JxCat,neutral,3.019,3.531,15.626,32.74,65.5,-0.755,16.98,57.55,30.11,95.0,True
78,2018,1,PSOE_min,JxCat,neutral,2.973,3.555,15.442,32.768,65.5,-0.682,17.16,57.24,30.49,95.78,True
79,2018,2,PSOE_min,JxCat,neutral,2.991,3.566,15.257,32.797,65.6,-0.703,17.21,55.06,29.8,97.16,True
80,2018,3,PSOE_min,JxCat,neutral,3.618,3.585,15.033,32.826,65.7,-0.681,17.87,55.23,31.41,98.28,True
81,2018,4,PSOE_min,JxCat,neutral,3.58,3.612,14.811,32.857,65.7,-0.744,16.99,55.3,31.1,96.85,True
82,2018,5,PSOE_min,JxCat,neutral,3.403,3.594,14.601,32.891,65.8,-0.824,18.42,55.99,31.17,98.33,True
83,2018,6,PSOE_min,JxCat,neutral,3.482,3.609,14.385,32.928,65.9,-0.876,19.74,56.36,30.72,98.14,True
84,2018,7,PSOE_min,JxCat,neutral,3.275,3.618,14.183,32.969,65.9,-0.993,20.64,57.97,30.09,98.71,True
85,2019,8,PSOE_min,JxCat,neutral,2.541,1.305,14.025,33.011,66.0,-1.006,20.47,57.08,30.18,97.88,True
86,2019,9,PSOE_min,JxCat,neutral,2.274,1.314,13.885,33.051,66.1,-0.968,20.56,56.16,29.97,98.63,True
87,2019,10,PSOE_min,JxCat,neutral,2.148,1.324,13.752,33.095,66.2,-1.043,20.88,56.72,29.2,99.17,True
88,2019,11,PSOE_min,JxCat,neutral,1.729,1.313,13.645,33.134,66.3,-0.934,20.59,54.99,28.46,99.22,True
89,2019,12,PSOE_min,JxCat,neutral,1.687,1.321,13.54,33.175,66.4,-1.002,21.29,53.38,28.49,98.01,True
90,2019,1,PSOE_min,JxCat,neutral,1.41,1.351,13.453,33.215,66.4,-0.958,20.94,52.93,29.07,97.43,True
