month,year,cal_month,gobierno,generalitat,gdp_growth,gdp_target,unemployment,public_debt,generalitat_surplus,cat_spa_relations,independence_movement,independence_trust,social_dissent,welfare_index,fla_active,fla_escalated,art155_ever,podemos_channeling
75,2018,10,PSOE_min,JxCat,2.952,3.374,17.455,33.5,0.584,5.41,70.57,43.05,52.86,36.11,True,False,True,0.31
76,2018,11,PSOE_min,JxCat,2.566,3.381,17.281,33.48,0.432,5.64,70.03,43.36,50.92,36.04,True,False,True,0.32
77,2018,12,PSOE_min,JxCat,2.78,3.395,17.091,33.47,0.322,5.75,68.8,43.27,51.15,35.83,True,False,True,0.33
78,2018,1,PSOE_min,JxCat,2.795,3.41,16.901,33.45,0.417,6.15,68.47,42.34,49.94,35.53,True,False,True,0.3
79,2018,2,PSOE_min,JxCat,3.128,3.409,16.688,33.42,0.409,5.87,66.66,42.34,50.31,35.53,True,False,True,0.31
80,2018,3,PSOE_min,JxCat,3.283,3.426,16.465,33.39,0.454,5.65,64.34,42.55,49.39,35.37,True,False,True,0.28
81,2018,4,PSOE_min,JxCat,3.412,3.453,16.233,33.34,0.673,5.54,63.45,42.45,47.17,35.48,True,False,True,0.29
82,2018,5,PSOE_min,JxCat,3.143,3.461,16.019,33.31,0.498,5.63,63.47,42.64,46.48,35.33,True,False,True,0.3
83,2018,6,PSOE_min,JxCat,3.465,3.464,15.783,33.29,0.288,6.17,62.04,43.16,46.22,35.31,True,False,True,0.31
84,2018,7,PSOE_min,JxCat,3.358,3.496,15.554,33.26,0.363,6.36,62.61,43.04,45.0,35.69,True,False,True,0.28
85,2019,8,PSOE_min,JxCat,2.983,1.191,15.351,33.25,0.289,6.15,64.3,43.23,45.32,35.63,True,False,True,0.29
86,2019,9,PSOE_min,JxCat,2.314,1.104,15.194,33.25,0.273,5.0,70.96,44.59,45.01,35.35,True,False,True,0.26
87,2019,10,PSOE_min,JxCat,2.215,1.089,15.043,33.23,0.42,6.21,71.49,44.15,43.05,35.35,True,False,True,0.27
88,2019,11,PSOE_min,JxCat,2.32,1.095,14.885,33.21,0.497,6.45,71.02,45.19,42.67,35.26,True,False,True,0.28
89,2019,12,PSOE_min,JxCat,2.014,1.117,14.748,33.19,0.58,6.67,69.8,45.44,43.7,35.28,True,False,True,0.25
90,2019,1,PSOE_min,JxCat,2.145,1.138,14.602,33.15,0.751,6.15,68.09,45.52,44.06,35.09,True,False,True,0.22
