month,year,cal_month,gobierno,generalitat,player_action,gdp_growth,gdp_target,unemployment,public_debt_game,public_debt_real_pct,generalitat_surplus,cat_spa_relations,independence_movement,independence_trust,social_dissent,fla_leverage
38,2015,9,PP_abs,ERC,neutral,2.639,3.544,23.128,29.552,59.1,-2.624,24.67,62.18,31.2,97.88,True
39,2015,10,PP_abs,ERC,neutral,2.687,3.528,22.926,29.656,59.3,-2.497,24.04,62.27,31.29,97.62,True
40,2015,11,PP_abs,ERC,neutral,3.521,3.519,22.662,29.754,59.5,-2.369,22.5,62.32,31.03,98.86,True
41,2015,12,PP_abs,ERC,neutral,3.291,3.492,22.415,29.852,59.7,-2.333,22.73,62.99,30.5,98.89,True
42,2015,1,PP_care,ERC,neutral,3.575,4.781,22.174,29.95,59.9,-2.36,23.85,63.25,29.94,100.0,True
43,2015,2,PP_care,ERC,neutral,4.509,4.788,21.869,30.041,60.1,-2.18,22.66,62.7,30.64,99.64,True
44,2015,3,PP_care,ERC,neutral,4.71,4.785,21.551,30.125,60.3,-2.028,21.89,62.54,29.09,98.94,True
45,2015,4,PP_care,ERC,neutral,4.653,4.757,21.237,30.214,60.4,-2.12,22.92,61.14,28.94,99.38,True
46,2015,5,PP_care,ERC,neutral,5.094,4.787,20.894,30.307,60.6,-2.232,23.61,61.04,28.52,100.0,True
47,2015,6,PP_care,ERC,neutral,5.066,4.794,20.552,30.4,60.8,-2.243,23.54,60.58,28.65,100.0,True
48,2015,7,PP_care,ERC,neutral,5.435,4.8,20.185,30.497,61.0,-2.329,24.91,58.72,28.64,100.0,True
49,2016,8,PP_care,ERC,neutral,4.984,3.543,19.848,30.595,61.2,-2.344,24.72,58.16,28.42,100.0,True
50,2016,9,PP_care,ERC,neutral,4.681,3.544,19.532,30.694,61.4,-2.369,25.3,58.33,28.89,100.0,True
51,2016,10,PP_min,ERC,neutral,4.078,3.356,19.242,30.793,61.6,-2.382,25.77,58.77,28.95,100.0,True
52,2016,11,PP_min,ERC,neutral,4.234,3.359,18.94,30.893,61.8,-2.398,26.1,58.48,28.91,100.0,True
53,2016,12,PP_min,ERC,neutral,4.222,3.367,18.639,30.986,62.0,-2.245,26.97,58.38,29.33,99.87,True
54,2016,1,PP_min,ERC,neutral,4.079,3.386,18.349,31.078,62.2,-2.206,26.99,58.81,28.99,100.0,True
55,2016,2,PP_min,ERC,neutral,3.601,3.377,18.092,31.174,62.3,-2.3,27.75,59.41,29.37,100.0,True
56,2016,3,PP_min,ERC,neutral,3.537,3.386,17.84,31.272,62.5,-2.356,27.75,58.69,29.93,99.99,True
57,2016,4,PP_min,ERC,neutral,3.268,3.401,17.607,31.37,62.7,-2.345,27.99,58.08,29.59,100.0,True
58,2016,5,PP_min,ERC,neutral,3.376,3.408,17.367,31.468,62.9,-2.356,27.61,58.18,28.93,98.71,True
59,2016,6,PP_min,ERC,neutral,3.179,3.393,17.14,31.565,63.1,-2.332,27.78,59.39,29.43,98.66,True
60,2016,7,PP_min,ERC,neutral,3.232,3.387,16.91,31.665,63.3,-2.403,27.71,59.02,29.66,97.93,True
61,2017,8,PP_min,ERC,neutral,3.451,3.493,16.664,31.756,63.5,-2.169,27.59,59.27,30.08,97.61,True
62,2017,9,PP_min,ERC,neutral,3.525,3.493,16.413,31.844,63.7,-2.116,27.61,58.47,30.16,98.18,True
63,2017,10,PP_min,ART155,neutral,3.283,1.904,16.306,31.925,63.9,-1.951,27.11,57.67,30.66,98.43,True
64,2017,11,PP_min,ART155,neutral,3.348,1.913,16.196,32.009,64.0,-1.998,24.52,57.02,29.67,97.96,True
65,2017,12,PP_min,ART155,neutral,2.544,1.87,16.113,32.089,64.2,-1.935,22.76,58.6,30.22,97.44,True
66,2017,1,PP_min,ART155,neutral,2.007,1.831,16.048,32.166,64.3,-1.834,19.84,60.14,30.88,97.02,True
67,2017,2,PP_min,ART155,neutral,1.435,1.776,16.001,32.234,64.5,-1.633,17.76,61.14,30.15,96.47,True
68,2017,3,PP_min,ART155,neutral,1.552,1.725,15.95,32.3,64.6,-1.588,15.44,61.59,29.69,96.38,True
69,2017,4,PP_min,ART155,neutral,1.637,1.679,15.897,32.362,64.7,-1.486,13.94,60.47,28.99,97.7,True
70,2017,5,PP_min,ERC,neutral,2.185,3.261,15.741,32.426,64.9,-1.533,14.91,60.46,29.65,97.8,True
71,2017,6,PSOE_min,ERC,neutral,3.265,3.984,15.472,32.479,65.0,-1.273,14.61,61.23,30.04,99.2,True
72,2017,7,PSOE_min,ERC,neutral,3.194,3.975,15.208,32.526,65.1,-1.141,15.23,59.53,29.52,97.17,True
73,2018,8,PSOE_min,ERC,neutral,3.4,4.198,14.928,32.568,65.1,-1.005,16.54,59.49,30.4,95.79,True
74,2018,9,PSOE_min,ERC,neutral,3.155,4.229,14.667,32.608,65.2,-0.962,17.06,59.35,29.44,95.7,True
75,2018,10,PSOE_min,ERC,neutral,3.09,4.227,14.412,32.643,65.3,-0.833,17.56,58.4,29.25,94.64,True
76,2018,11,PSOE_min,ERC,neutral,3.395,4.244,14.132,32.671,65.3,-0.668,17.12,58.74,29.06,93.85,True
77,2018,12,PSOE_min,ERC,neutral,3.599,4.231,13.835,32.702,65.4,-0.741,16.98,57.55,30.11,93.88,True
78,2018,1,PSOE_min,ERC,neutral,3.587,4.255,13.539,32.729,65.5,-0.664,17.16,57.24,30.49,94.64,True
79,2018,2,PSOE_min,ERC,neutral,3.629,4.266,13.24,32.758,65.5,-0.681,17.21,55.06,29.8,96.01,True
80,2018,3,PSOE_min,ERC,neutral,4.273,4.285,12.887,32.785,65.6,-0.655,17.87,55.23,31.41,97.13,True
81,2018,4,PSOE_min,ERC,neutral,4.248,4.312,12.537,32.815,65.6,-0.715,16.99,55.3,31.1,95.7,True
82,2018,5,PSOE_min,ERC,neutral,4.08,4.294,12.2,32.848,65.7,-0.79,18.42,55.99,31.17,97.18,True
83,2018,6,PSOE_min,ERC,neutral,4.166,4.309,11.857,32.882,65.8,-0.838,19.74,56.36,30.72,96.99,True
84,2018,7,PSOE_min,ERC,neutral,3.963,4.318,11.53,32.922,65.8,-0.95,20.64,57.97,30.09,97.56,True
85,2019,8,PSOE_min,ERC,neutral,3.233,2.005,11.263,32.962,65.9,-0.96,20.47,57.08,30.18,96.73,True
86,2019,9,PSOE_min,ERC,neutral,2.967,2.014,11.018,33.0,66.0,-0.918,20.56,56.16,29.97,97.48,True
87,2019,10,PSOE_min,ERC,neutral,2.843,2.024,10.784,33.041,66.1,-0.988,20.88,56.72,29.2,98.02,True
88,2019,11,PSOE_min,ERC,neutral,2.425,2.013,10.584,33.078,66.2,-0.875,20.59,54.99,28.46,98.07,True
89,2019,12,PSOE_min,ERC,neutral,2.385,2.021,10.387,33.117,66.2,-0.939,21.29,53.38,28.49,96.86,True
90,2019,1,PSOE_min,ERC,neutral,2.109,2.051,10.213,33.154,66.3,-0.891,20.94,52.93,29.07,96.28,True
