month,year,cal_month,gobierno,generalitat,gdp_growth,gdp_target,unemployment,public_debt,generalitat_surplus,cat_spa_relations,independence_movement,independence_trust,social_dissent,welfare_index,fla_active,fla_escalated,art155_ever,podemos_channeling
74,2018,9,PSOE_min,JxCat,2.938,3.388,15.693,33.44,0.36,5.0,70.37,42.76,43.02,36.68,True,False,True,0.62
75,2018,10,PSOE_min,JxCat,3.088,3.374,15.483,33.41,0.446,5.41,70.57,43.05,41.82,36.27,True,False,True,0.63
76,2018,11,PSOE_min,JxCat,2.664,3.381,15.302,33.4,0.295,5.64,70.03,43.36,39.92,36.2,True,False,True,0.64
77,2018,12,PSOE_min,JxCat,2.85,3.395,15.108,33.4,0.185,5.75,68.8,43.27,40.2,36.0,True,False,True,0.65
78,2018,1,PSOE_min,JxCat,2.845,3.41,14.914,33.39,0.28,6.15,68.47,42.34,39.03,35.69,True,False,True,0.62
79,2018,2,PSOE_min,JxCat,3.165,3.409,14.699,33.38,0.272,5.87,66.66,42.34,39.44,35.69,True,False,True,0.63
80,2018,3,PSOE_min,JxCat,3.309,3.426,14.474,33.36,0.317,5.65,64.34,42.55,38.56,35.54,True,False,True,0.6
81,2018,4,PSOE_min,JxCat,3.431,3.453,14.24,33.32,0.536,5.54,63.45,42.45,36.38,35.64,True,False,True,0.61
82,2018,5,PSOE_min,JxCat,3.157,3.461,14.025,33.29,0.361,5.63,63.47,42.64,35.72,35.5,True,False,True,0.62
83,2018,6,PSOE_min,JxCat,3.475,3.464,13.789,33.28,0.151,6.17,62.04,43.16,35.5,35.47,True,False,True,0.63
84,2018,7,PSOE_min,JxCat,3.365,3.496,13.56,33.27,0.226,6.36,62.61,43.04,34.32,35.86,True,False,True,0.6
85,2019,8,PSOE_min,JxCat,2.989,1.191,13.356,33.27,0.152,6.15,64.3,43.23,34.66,35.79,True,False,True,0.61
86,2019,9,PSOE_min,JxCat,2.318,1.104,13.199,33.28,0.136,5.0,70.96,44.59,34.39,35.52,True,False,True,0.58
87,2019,10,PSOE_min,JxCat,2.217,1.089,13.048,33.28,0.283,6.21,71.49,44.15,32.45,35.52,True,False,True,0.59
88,2019,11,PSOE_min,JxCat,2.322,1.095,12.89,33.27,0.36,6.45,71.02,45.19,32.1,35.43,True,False,True,0.6
89,2019,12,PSOE_min,JxCat,2.015,1.117,12.752,33.25,0.443,6.67,69.8,45.44,33.16,35.44,True,False,True,0.57
90,2019,1,PSOE_min,JxCat,2.146,1.138,12.606,33.23,0.614,6.15,68.09,45.52,33.55,35.26,True,False,True,0.54
