province,demographic_group,party,percentage
girona,middle,erc,25.0
girona,middle,cup,5.0
girona,middle,vox,0.0
girona,middle,cecp,8.0
girona,middle,psc,5.0
girona,middle,cs,15.0
girona,middle,ac,0.0
girona,middle,abstain,10.0
girona,middle,ppc,2.0
girona,middle,si,0.0
girona,retired,jxcat,35.0
girona,retired,erc,15.0
girona,retired,cup,4.0
girona,retired,vox,0.0
girona,retired,cecp,3.0
girona,retired,psc,10.0
girona,retired,cs,15.0
girona,retired,ac,0.0
girona,retired,abstain,15.0
girona,retired,ppc,3.0
girona,retired,si,0.0
girona,rural,jxcat,29.4
girona,rural,erc,26.5
girona,rural,cup,8.8
girona,rural,vox,0.0
girona,rural,cecp,5.9
girona,rural,psc,5.9
girona,rural,cs,2.9
girona,rural,ac,0.0
girona,rural,abstain,20.6
girona,rural,ppc,0.0
girona,rural,si,0.0
girona,unemployed,jxcat,20.0
girona,unemployed,erc,15.0
girona,unemployed,cup,5.0
girona,unemployed,vox,0.0
girona,unemployed,cecp,8.0
girona,unemployed,psc,10.0
girona,unemployed,cs,20.0
girona,unemployed,ac,0.0
girona,unemployed,abstain,18.0
girona,unemployed,ppc,4.0
girona,unemployed,si,0.0
girona,young,jxcat,25.0
girona,young,erc,20.0
girona,young,cup,10.0
girona,young,vox,0.0
girona,young,cecp,5.0
girona,young,psc,5.0
girona,young,cs,10.0
girona,young,ac,0.0
girona,young,abstain,25.0
girona,young,ppc,0.0
girona,young,si,0.0
lleida,buss,jxcat,27.0
lleida,buss,erc,15.0
lleida,buss,cup,1.0
lleida,buss,vox,0.0
lleida,buss,cecp,2.0
lleida,buss,psc,5.0
lleida,buss,cs,25.0
lleida,buss,ac,0.0
lleida,buss,abstain,20.0
lleida,buss,ppc,5.0
lleida,buss,si,0.0
lleida,ind,jxcat,12.73
lleida,ind,erc,16.36
lleida,ind,cup,1.82
lleida,ind,vox,0.0
lleida,ind,cecp,4.55
lleida,ind,psc,12.73
lleida,ind,cs,30.0
lleida,ind,ac,0.0
lleida,ind,abstain,20.0
lleida,ind,ppc,1.82
lleida,ind,si,0.0
lleida,middle,jxcat,20.91
lleida,middle,erc,21.82
lleida,middle,cup,2.73
lleida,middle,vox,0.0
lleida,middle,cecp,4.55
lleida,middle,psc,8.18
lleida,middle,cs,22.73
lleida,middle,ac,0.0
lleida,middle,abstain,16.36
lleida,middle,ppc,2.73
lleida,middle,si,0.0
lleida,retired,jxcat,30.91
lleida,retired,erc,19.09
lleida,retired,cup,0.45
lleida,retired,vox,0.0
lleida,retired,cecp,1.82
lleida,retired,psc,12.73
lleida,retired,cs,9.09
lleida,retired,ac,0.0
lleida,retired,abstain,21.82
lleida,retired,ppc,4.09
lleida,retired,si,0.0
lleida,rural,jxcat,39.09
lleida,rural,erc,26.36
lleida,rural,cup,4.55
lleida,rural,vox,0.0
lleida,rural,cecp,1.82
lleida,rural,psc,3.64
lleida,rural,cs,3.64
lleida,rural,ac,0.0
lleida,rural,abstain,19.09
lleida,rural,ppc,1.82
lleida,rural,si,0.0
lleida,unemployed,jxcat,8.41
lleida,unemployed,erc,14.02
lleida,unemployed,cup,3.74
lleida,unemployed,vox,0.0
lleida,unemployed,cecp,5.61
lleida,unemployed,psc,14.02
lleida,unemployed,cs,25.23
lleida,unemployed,ac,0.0
lleida,unemployed,abstain,26.17
lleida,unemployed,ppc,2.8
lleida,unemployed,si,0.0
lleida,young,jxcat,12.2
lleida,young,erc,28.46
lleida,young,cup,7.32
lleida,young,vox,0.0
lleida,young,cecp,4.88
lleida,young,psc,6.5
lleida,young,cs,14.63
lleida,young,ac,0.0
lleida,young,abstain,24.39
lleida,young,ppc,1.63
lleida,young,si,0.0
tarragona,buss,jxcat,28.0
tarragona,buss,erc,14.0
tarragona,buss,cup,0.0
tarragona,buss,vox,0.0
tarragona,buss,cecp,2.0
tarragona,buss,psc,8.0
tarragona,buss,cs,25.0
tarragona,buss,ac,0.0
tarragona,buss,abstain,14.0
tarragona,buss,ppc,9.0
tarragona,buss,si,0.0
tarragona,ind,jxcat,9.43
tarragona,ind,erc,15.09
tarragona,ind,cup,0.0
tarragona,ind,vox,0.0
tarragona,ind,cecp,5.66
tarragona,ind,psc,13.21
tarragona,ind,cs,35.85
tarragona,ind,ac,0.0
tarragona,ind,abstain,16.98
tarragona,ind,ppc,3.77
tarragona,ind,si,0.0
tarragona,middle,jxcat,17.31
tarragona,middle,erc,21.15
tarragona,middle,cup,3.85
tarragona,middle,vox,0.0
tarragona,middle,cecp,6.73
tarragona,middle,psc,11.54
tarragona,middle,cs,26.92
tarragona,middle,ac,0.0
tarragona,middle,abstain,9.62
tarragona,middle,ppc,2.88
tarragona,middle,si,0.0
tarragona,retired,jxcat,20.75
tarragona,retired,erc,13.21
tarragona,retired,cup,0.0
tarragona,retired,vox,0.0
tarragona,retired,cecp,1.89
tarragona,retired,psc,20.75
tarragona,retired,cs,16.98
tarragona,retired,ac,0.0
tarragona,retired,abstain,20.75
tarragona,retired,ppc,5.66
tarragona,retired,si,0.0
tarragona,rural,jxcat,30.77
tarragona,rural,erc,30.77
tarragona,rural,cup,4.81
tarragona,rural,vox,0.0
tarragona,rural,cecp,1.92
tarragona,rural,psc,4.81
tarragona,rural,cs,7.69
tarragona,rural,ac,0.0
tarragona,rural,abstain,17.31
tarragona,rural,ppc,1.92
tarragona,rural,si,0.0
tarragona,unemployed,jxcat,5.77
tarragona,unemployed,erc,11.54
tarragona,unemployed,cup,1.92
tarragona,unemployed,vox,0.0
tarragona,unemployed,cecp,5.77
tarragona,unemployed,psc,13.46
tarragona,unemployed,cs,34.62
tarragona,unemployed,ac,0.0
tarragona,unemployed,abstain,23.08
tarragona,unemployed,ppc,3.85
tarragona,unemployed,si,0.0
tarragona,young,jxcat,9.17
tarragona,young,erc,21.1
tarragona,young,cup,8.26
tarragona,young,vox,0.0
tarragona,young,cecp,8.26
tarragona,young,psc,7.34
tarragona,young,cs,20.18
tarragona,young,ac,0.0
tarragona,young,abstain,22.94
tarragona,young,ppc,2.75
tarragona,young,si,0.0
